id,invoice_id,time_id,customer_id,product_id,payment_method_id,product_quantity,total_per_product,total_invoice,currency_type,ingestion_date,last_modified_date
0,1,450720,61,23,0,6,313.9192623916117,313.9192623916117,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
1,2,135360,9,31,3,10,486.3095672041744,486.3095672041744,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
2,3,319680,13,47,3,1,757.8973346186016,757.8973346186016,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
3,4,43200,99,6,2,8,425.8619961614792,425.8619961614792,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
4,5,522720,65,19,2,6,744.7079685017543,744.7079685017543,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
5,6,273600,26,5,2,4,762.1322950329429,762.1322950329429,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
6,7,74880,12,15,0,1,122.84289293636252,122.84289293636252,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
7,8,423360,86,28,1,6,290.5265762816422,290.5265762816422,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
8,9,63360,71,30,3,10,644.6161011740719,644.6161011740719,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
9,10,306720,48,17,2,9,657.0380899399343,657.0380899399343,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
10,11,430560,28,33,1,10,536.2401788273501,536.2401788273501,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
11,12,285120,98,0,2,4,123.98998486701024,123.98998486701024,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
12,13,139680,66,2,0,8,341.7156059689652,341.7156059689652,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
13,14,292320,33,0,0,3,995.6803624084858,995.6803624084858,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
14,15,191520,53,23,0,7,279.7701698625332,279.7701698625332,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
15,16,436320,74,25,0,3,498.0959856461475,498.0959856461475,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
16,17,381600,57,16,2,8,476.3595788541648,476.3595788541648,MXN,2024-02-23 21:58:34,2024-02-23 21:58:34
